EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,Notes,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,Location,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001000,32,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,10,3,4,55,3,NULL,2,4,1,No,12,4,India,10,2,2,10,7,0,8,0,3
E1001006,47,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,14,4,4,42,3,NULL,2,1,2,No,12,4,India,20,2,3,7,7,1,7,0,3
E1001007,40,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,5,4,4,48,2,NULL,3,1,5,Yes,21,3,India,20,2,3,18,13,1,12,0,4
E1001009,41,Male,Human Resources,Divorced,Human Resources,Manager,Travel_Rarely,10,4,2,73,2,NULL,5,4,3,No,15,2,India,23,2,2,21,6,12,6,0,3
E1001010,60,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,16,4,1,84,3,NULL,2,1,8,No,14,4,India,10,1,3,2,2,2,2,0,3
E1001011,27,Male,Life Sciences,Divorced,Development,Developer,Travel_Frequently,10,2,4,32,3,"Invoice No 9621 Description of good
s Frozen Edamame Beans 20LBS Bulk B
FI0005001",3,1,1,No,21,3,India,9,4,2,9,7,1,7,0,4
E1001016,50,Male,Marketing,Married,Sales,Sales Representative,Travel_Rarely,8,4,4,54,3,"00412010    One SME Model 302A Turn
table with Type V tone arm. Audio e
quipment purchase BFI001033613",1,2,7,No,15,4,India,4,2,3,NULL,2,2,2,0,3
E1001019,28,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,2,1,67,1,NULL,1,2,7,Yes,13,4,India,10,4,3,NULL,7,3,7,1,3
E1001020,36,Female,Life Sciences,Married,Development,Developer,Non-Travel,8,3,1,63,4,"Field 70 Intermediary Bank should n
ot convert the currency. BFIIBKL000
0113",3,1,9,No,14,1,India,10,2,3,NULL,7,0,5,0,3
E1001021,38,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,3,3,81,3,NULL,3,3,4,Yes,14,4,India,10,4,4,NULL,0,0,0,0,3
